"strain","RDP_NCBI_closest_hit","Phylum","Class","Order","Family","Genus","Medium","Antibiotic","Sample","Cultivar","compartment"
"AL001","Curtobacterium citreum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","TSA",NA,"AL","Innovator","Leaf"
"AL002","Microbacterium trichotecenolyticum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AL","Innovator","Leaf"
"AL003","Rhodococcus erythropolis","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","TSA",NA,"AL","Innovator","Leaf"
"AL004","Bacillus sp.","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AL","Innovator","Leaf"
"AL005","Acidovorax delafieldii","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","TSA",NA,"AL","Innovator","Leaf"
"AL006","Microbacterium keratanolyticum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AL","Innovator","Leaf"
"AL007","Bacillus niacini","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AL","Innovator","Leaf"
"AL008",NA,NA,NA,NA,NA,NA,"TSA",NA,"AL","Innovator","Leaf"
"AL009","Frigoribacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","TSA",NA,"AL","Innovator","Leaf"
"AL010","Stenotrophomonas rhizophila","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","TSA",NA,"AL","Innovator","Leaf"
"AL011","Janibacter melonis","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Janibacter","TSA",NA,"AL","Innovator","Leaf"
"AL012","Janibacter melonis","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Janibacter","TSA",NA,"AL","Innovator","Leaf"
"AL013","Microbacterium testaceum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AL","Innovator","Leaf"
"AL014",NA,NA,NA,NA,NA,NA,"TSA",NA,"AL","Innovator","Leaf"
"AL015",NA,NA,NA,NA,NA,NA,"TSA",NA,"AL","Innovator","Leaf"
"AL016","Microbacterium saperdae","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AL","Innovator","Leaf"
"AL017","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AL","Innovator","Leaf"
"AL018","Rathayibacter sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Rathayibacter","TSA",NA,"AL","Innovator","Leaf"
"AL019","Rhodococcus corynebacterioides","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","TSA",NA,"AL","Innovator","Leaf"
"AL020","Frigoribacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","TSA",NA,"AL","Innovator","Leaf"
"AL021","Microbacterium lemovicicum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AL","Innovator","Leaf"
"AL022","Microbacterium testaceum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AL","Innovator","Leaf"
"AL023",NA,NA,NA,NA,NA,NA,"TSA",NA,"AL","Innovator","Leaf"
"AL024","See Seq14","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","TSA",NA,"AL","Innovator","Leaf"
"AL025","Stenotrophomonas rhizophila","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","TSA",NA,"AL","Innovator","Leaf"
"AL026","Roseomonas pecuniae","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","TSA",NA,"AL","Innovator","Leaf"
"AL027","Microbacterium testaceum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AL","Innovator","Leaf"
"AL028","Bacillus mycoides","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AL","Innovator","Leaf"
"AL029","Rhodococcus degradans","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","TSA",NA,"AL","Innovator","Leaf"
"AL030","Rhodococcus degradans","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","TSA",NA,"AL","Innovator","Leaf"
"AL031",NA,NA,NA,NA,NA,NA,"TSA",NA,"AL","Innovator","Leaf"
"AL032","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AL","Innovator","Leaf"
"AL033","Aeromicrobium sp.","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium","TSA",NA,"AL","Innovator","Leaf"
"AL034","Agrobacterium fabrum","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","TSA",NA,"AL","Innovator","Leaf"
"AL035","Staphylococcus saprophyticus","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","TSA",NA,"AL","Innovator","Leaf"
"AL036","Frigoribacterium faeni","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","TSA",NA,"AL","Innovator","Leaf"
"AL037",NA,NA,NA,NA,NA,NA,"TSA",NA,"AL","Innovator","Leaf"
"AL038","Bacillus aerius","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ARE","Nys","AL","Innovator","Leaf"
"AL039","Agrobacterium fabrum","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ARE","Nys","AL","Innovator","Leaf"
"AL040","Stenotrophomonas rhizophila","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ARE","Nys","AL","Innovator","Leaf"
"AL041","Rhodococcus erythropolis","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","ARE","Nys","AL","Innovator","Leaf"
"AL042","Frigoribacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","ARE","Nys","AL","Innovator","Leaf"
"AL043","Microbacterium saperdae","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ARE","Nys","AL","Innovator","Leaf"
"AL044","Sphingomonas faeni","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","ARE","Nys","AL","Innovator","Leaf"
"AL045","Streptomyces fulvissimus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AL","Innovator","Leaf"
"AL046","Curtobacterium flaccumfaciens","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","ARE","Nys","AL","Innovator","Leaf"
"AL047","Frigoribacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","ARE","Nys","AL","Innovator","Leaf"
"AL048","Microbacterium saperdae","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ARE","Nys","AL","Innovator","Leaf"
"AL049","Siphonobacter aquaeclarae","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Siphonobacter","ARE","Nys","AL","Innovator","Leaf"
"AL050","Cellulomonas hominis","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","ARE","Nys","AL","Innovator","Leaf"
"AL051","Sphingomonas sp","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","ARE","Nys","AL","Innovator","Leaf"
"AL052","Caulobacter segnis","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","ARE","Nys","AL","Innovator","Leaf"
"AL053","Staphylococcus saprophyticus","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","ARE","Nys","AL","Innovator","Leaf"
"AL054",NA,NA,NA,NA,NA,NA,"ARE","Nys","AL","Innovator","Leaf"
"AL055",NA,NA,NA,NA,NA,NA,"ARE","Nys","AL","Innovator","Leaf"
"AL056","Sphingomonas faeni","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","ARE","Nys","AL","Innovator","Leaf"
"AL057","Cellulomonas hominis","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","ARE","Nys","AL","Innovator","Leaf"
"AL058",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AL","Innovator","Leaf"
"AL059","Sphingomonas molluscorum","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","ARE","Nys","AL","Innovator","Leaf"
"AL060","Bacillus piscis","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ARE","Nys","AL","Innovator","Leaf"
"AL061","Microbacterium testaceum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ARE","Nys","AL","Innovator","Leaf"
"AL062","Rhodococcus corynebacterioides","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","ARE","Nys","AL","Innovator","Leaf"
"AL063","Sphingomonas carotinifaciens","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","ARE","Nys","AL","Innovator","Leaf"
"AL064","Rhizobium radiobacter","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ARE","Nys","AL","Innovator","Leaf"
"AL065",NA,NA,NA,NA,NA,NA,"ARE","Nys","AL","Innovator","Leaf"
"AL066",NA,NA,NA,NA,NA,NA,"ARE","Nys","AL","Innovator","Leaf"
"AL067","Streptomyces thermocarboxydus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AL","Innovator","Leaf"
"AL068","Frigoribacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","ARE","Nys","AL","Innovator","Leaf"
"AL069","Curtobacterium flaccumfaciens","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","ARE","Nys","AL","Innovator","Leaf"
"AL070","Caulobacter segnis","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","ARE","Nys","AL","Innovator","Leaf"
"AL071","Streptomyces rubiginosohelvolus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AL","Innovator","Leaf"
"AL072","Frigoribacterium faeni","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","ActIA",NA,"AL","Innovator","Leaf"
"AL073",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AL","Innovator","Leaf"
"AL074","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AL","Innovator","Leaf"
"AL075","Rathayibacter sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Rathayibacter","ActIA",NA,"AL","Innovator","Leaf"
"AL076","Sporosarcina sp.","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina","ActIA",NA,"AL","Innovator","Leaf"
"AL077","Bacillus humi","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"AL","Innovator","Leaf"
"AL078","Frigoribacterium faeni","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","ActIA",NA,"AL","Innovator","Leaf"
"AL079","Rhodococcus corynebacterioides","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","ActIA",NA,"AL","Innovator","Leaf"
"AL080","Frigoribacterium faeni","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","ActIA",NA,"AL","Innovator","Leaf"
"AL081",NA,NA,NA,NA,NA,NA,"ActIA",NA,"AL","Innovator","Leaf"
"AL082","Kocuria carniphila","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","ActIA",NA,"AL","Innovator","Leaf"
"AL083","Streptomyces sp. JJF-2","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"AL","Innovator","Leaf"
"AL084","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"AL","Innovator","Leaf"
"AL085","Microbacterium proteolyticum","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus","ActIA",NA,"AL","Innovator","Leaf"
"AL086","Micrococcus yunnanensis","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","ActIA",NA,"AL","Innovator","Leaf"
"AL087","Rhodococcus fascians","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","ActIA",NA,"AL","Innovator","Leaf"
"AL088","Curtobacterium oceanosedimentum","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae",NA,"ActIA",NA,"AL","Innovator","Leaf"
"AL089","Frigoribacterium faeni","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","ActIA",NA,"AL","Innovator","Leaf"
"AL090","Bacillus cereus","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"AL","Innovator","Leaf"
"AL091","Bacillus cereus","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"AL","Innovator","Leaf"
"AL092","Sphingomonas dokdonensis","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","ActIA",NA,"AL","Innovator","Leaf"
"AL093","Rhodococcus degradans","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","ActIA",NA,"AL","Innovator","Leaf"
"AL094","Frigoribacterium faeni","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","ActIA",NA,"AL","Innovator","Leaf"
"AL095","Janibacter melonis","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Janibacter","ActIA",NA,"AL","Innovator","Leaf"
"AL096","Frigoribacterium faeni","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","ActIA",NA,"AL","Innovator","Leaf"
"AL097","Frigoribacterium faeni","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","ActIA",NA,"AL","Innovator","Leaf"
"AL098","Frigoribacterium faeni","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","ActIA",NA,"AL","Innovator","Leaf"
"AL099","Curtobacterium oceanosedimentum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","ActIA",NA,"AL","Innovator","Leaf"
"AL100","Roseomonas gilardii","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","ActIA",NA,"AL","Innovator","Leaf"
"AL101",NA,NA,NA,NA,NA,NA,"PDA",NA,"AL","Innovator","Leaf"
"AL102",NA,NA,NA,NA,NA,NA,"PDA",NA,"AL","Innovator","Leaf"
"AL103",NA,NA,NA,NA,NA,NA,"PDA",NA,"AL","Innovator","Leaf"
"AL104",NA,NA,NA,NA,NA,NA,"PDA",NA,"AL","Innovator","Leaf"
"AL105",NA,NA,NA,NA,NA,NA,"PDA",NA,"AL","Innovator","Leaf"
"AL106",NA,NA,NA,NA,NA,NA,"PDA",NA,"AL","Innovator","Leaf"
"AL107",NA,NA,NA,NA,NA,NA,"PDA",NA,"AL","Innovator","Leaf"
"AL108",NA,NA,NA,NA,NA,NA,"PDA",NA,"AL","Innovator","Leaf"
"AL109",NA,NA,NA,NA,NA,NA,"PDA",NA,"AL","Innovator","Leaf"
"AL110",NA,NA,NA,NA,NA,NA,"PDA",NA,"AL","Innovator","Leaf"
"AL111",NA,NA,NA,NA,NA,NA,"PDA",NA,"AL","Innovator","Leaf"
"AL112",NA,NA,NA,NA,NA,NA,"PDA",NA,"AL","Innovator","Leaf"
"AL113",NA,NA,NA,NA,NA,NA,"PDA",NA,"AL","Innovator","Leaf"
"AL114",NA,NA,NA,NA,NA,NA,"ARE","Ab","AL","Innovator","Leaf"
"AL115",NA,NA,NA,NA,NA,NA,"ARE","Ab","AL","Innovator","Leaf"
"AL116",NA,NA,NA,NA,NA,NA,"ARE","Ab","AL","Innovator","Leaf"
"AL117",NA,NA,NA,NA,NA,NA,"ARE","Ab","AL","Innovator","Leaf"
"AL118",NA,NA,NA,NA,NA,NA,"ARE","Ab","AL","Innovator","Leaf"
"AL119",NA,NA,NA,NA,NA,NA,"ARE","Ab","AL","Innovator","Leaf"
"AL120",NA,NA,NA,NA,NA,NA,"ARE","Ab","AL","Innovator","Leaf"
"AL121",NA,NA,NA,NA,NA,NA,"ARE","Ab","AL","Innovator","Leaf"
"AL122",NA,NA,NA,NA,NA,NA,"ARE","Ab","AL","Innovator","Leaf"
"AR001","Bacillus simplex","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AR","Innovator","Root"
"AR002","Bacillus simplex","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AR","Innovator","Root"
"AR003","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR004","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR005","Bacillus simplex","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AR","Innovator","Root"
"AR006","Streptomyces fulvissimus strain NA06532","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR007","Microbacterium esteraromaticum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AR","Innovator","Root"
"AR008","Phyllobacterium sp.","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium","TSA",NA,"AR","Innovator","Root"
"AR009","Acidovorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","TSA",NA,"AR","Innovator","Root"
"AR010",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR011","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR012","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR013","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR014","See Seq14","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR015","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR016","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AR","Innovator","Root"
"AR017","Advanella sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Advenella","TSA",NA,"AR","Innovator","Root"
"AR018","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR019","Streptomyces fulvissimus strain NA06532","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR020","Streptomyces longispororuber","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR021","Agromyces sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces","TSA",NA,"AR","Innovator","Root"
"AR022","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AR","Innovator","Root"
"AR023","Chryseobacterium daecheongense","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","TSA",NA,"AR","Innovator","Root"
"AR024","Ochrobactrum anthropi","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","TSA",NA,"AR","Innovator","Root"
"AR025","Bacillus muralis","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AR","Innovator","Root"
"AR026",NA,NA,NA,NA,NA,NA,"TSA",NA,"AR","Innovator","Root"
"AR027","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR028","Leifsonia shinshuensis","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Leifsonia","TSA",NA,"AR","Innovator","Root"
"AR029","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR030","Streptomyces fulvissimus strain NA06532","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR031","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR032","Variovorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","TSA",NA,"AR","Innovator","Root"
"AR033","Streptomyces pratensis strain Kris8","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR034","Streptomyces graminearus strain NM1","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR035",NA,NA,NA,NA,NA,NA,"TSA",NA,"AR","Innovator","Root"
"AR036","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR037","Bacilus sp.","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AR","Innovator","Root"
"AR038a","Chryseobacterium daecheongense","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","TSA",NA,"AR","Innovator","Root"
"AR038b","seq 19","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR039","Bacillus subtilis","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AR","Innovator","Root"
"AR040","Streptomyces ederensis","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR041",NA,NA,NA,NA,NA,NA,"TSA",NA,"AR","Innovator","Root"
"AR042","Bacilus sp.","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AR","Innovator","Root"
"AR043","seq 19","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR044","Streptomyces pratensis strain Kris8","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR045",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR046","Nocardioides albus","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","TSA",NA,"AR","Innovator","Root"
"AR047",NA,NA,NA,NA,NA,NA,"TSA",NA,"AR","Innovator","Root"
"AR048","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AR","Innovator","Root"
"AR049","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AR","Innovator","Root"
"AR050","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"AR","Innovator","Root"
"AR051",NA,"Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","TSA",NA,"AR","Innovator","Root"
"AR052",NA,NA,NA,NA,NA,NA,"TSA",NA,"AR","Innovator","Root"
"AR053",NA,NA,NA,NA,NA,NA,"TSA",NA,"AR","Innovator","Root"
"AR054",NA,NA,NA,NA,NA,NA,"TSA",NA,"AR","Innovator","Root"
"AR055","See Seq12","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AR","Innovator","Root"
"AR056","Ochrobactrum intermedium","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","TSA",NA,"AR","Innovator","Root"
"AR057","Bacillus simplex","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"AR","Innovator","Root"
"AR058","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"AR","Innovator","Root"
"AR059","Tsukamurella pulmonis strain L60","Actinobacteriota","Actinobacteria","Corynebacteriales","Tsukamurellaceae","Tsukamurella","ARE","Nys","AR","Innovator","Root"
"AR060","Pseudomonas sp.","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ARE","Nys","AR","Innovator","Root"
"AR061","Rhizobium radiobacter","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ARE","Nys","AR","Innovator","Root"
"AR062","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AR","Innovator","Root"
"AR063","Achromobacter sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae",NA,"ARE","Nys","AR","Innovator","Root"
"AR064","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AR","Innovator","Root"
"AR065","Streptomyces globosus strain QT194-9","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","AR","Innovator","Root"
"AR066","Arhthrobacter sp.","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter","ARE","Nys","AR","Innovator","Root"
"AR067","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ARE","Nys","AR","Innovator","Root"
"AR068","Enterobacter sp.","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,"ARE","Nys","AR","Innovator","Root"
